State,Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Intl Mins,Intl Calls,CustServ Calls,Churn?
WI,Short,510,no,no,None,100->200,50->100,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
OR,Short,408,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
MI,Short,415,no,no,None,200->300,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
DE,Long,408,no,no,None,100->200,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
ID,Long,415,no,no,None,100->200,100->150,200->300,100->150,100->200,50->100,0->100,0->5,5->10,True.
WY,Middle_Length,415,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,0->100,50->100,0->100,0->5,0->5,False.
IA,Short,408,no,no,None,100->200,100->150,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
IN,Short,408,no,no,None,200->300,50->100,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
VA,Short,408,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
UT,Middle_Length,415,no,no,None,100->200,100->150,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
WY,Middle_Length,415,no,no,None,100->200,50->100,200->300,100->150,200->300,100->150,0->100,0->5,5->10,True.
IN,Short,408,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
CO,Long,415,no,no,None,100->200,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
CO,Long,408,no,yes,Middle(13->23),100->200,100->150,0->100,50->100,100->200,50->100,0->100,0->5,0->5,True.
WI,Short,415,no,no,None,100->200,50->100,200->300,150->200,100->200,100->150,0->100,0->5,0->5,False.
OK,Long,408,no,no,None,200->300,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
ID,Long,408,no,no,None,100->200,50->100,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
CA,Long,415,no,yes,Middle(13->23),200->300,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
MN,Short,510,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
SD,Long,408,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
NC,Short,408,no,no,None,100->200,50->100,100->200,50->100,100->200,100->150,0->100,5->10,0->5,False.
WA,Short,415,no,yes,Large(23->51),100->200,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
WY,Short,415,yes,no,None,200->300,100->150,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
MN,Middle_Length,408,yes,no,None,100->200,50->100,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
UT,Long,408,no,no,None,200->300,50->100,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
TX,Long,510,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,True.
NJ,Long,408,no,no,None,200->300,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
MN,Long,510,no,yes,Large(23->51),200->300,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
NM,Long,510,no,no,None,200->300,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
NV,Middle_Length,415,no,no,None,200->300,100->150,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
HI,Middle_Length,415,no,no,None,200->300,100->150,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
MN,Short,415,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
DC,Short,415,no,no,None,300->400,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,True.
NY,Long,408,no,no,None,0->100,100->150,0->100,50->100,100->200,50->100,0->100,5->10,0->5,True.
MN,Short,415,no,no,None,200->300,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
MD,Short,408,no,no,None,100->200,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
WV,Long,415,no,no,None,200->300,50->100,300->400,50->100,200->300,100->150,0->100,0->5,0->5,False.
OR,Long,415,yes,no,None,200->300,100->150,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
CO,Short,408,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
GA,Short,415,no,yes,Middle(13->23),200->300,100->150,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
TX,Middle_Length,510,no,no,None,200->300,50->100,200->300,50->100,100->200,50->100,0->100,0->5,0->5,True.
VT,Long,510,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,300->400,50->100,0->100,5->10,0->5,False.
IN,Middle_Length,408,no,no,None,100->200,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,True.
WV,Middle_Length,510,no,no,None,200->300,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
KY,Short,415,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
NJ,Long,415,no,no,None,200->300,100->150,200->300,50->100,200->300,50->100,0->100,0->5,0->5,True.
DC,Short,510,no,no,None,100->200,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
LA,Long,415,no,no,None,200->300,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,True.
AR,Short,415,no,no,None,100->200,100->150,100->200,100->150,200->300,50->100,0->100,5->10,0->5,False.
ME,Short,415,no,no,None,200->300,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
AZ,Middle_Length,415,no,no,None,100->200,50->100,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
AK,Middle_Length,408,no,no,None,200->300,100->150,0->100,100->150,100->200,100->150,0->100,5->10,0->5,False.
MT,Short,415,no,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
AZ,Middle_Length,415,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
MS,Long,408,no,no,None,200->300,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,True.
ID,Short,415,no,no,None,200->300,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,True.
IA,Middle_Length,510,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
MA,Middle_Length,415,no,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,5->10,0->5,False.
VT,Long,415,no,no,None,100->200,50->100,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
KY,Middle_Length,408,no,no,None,100->200,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
IN,Long,408,no,no,None,100->200,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
AZ,Middle_Length,408,no,no,None,200->300,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
MI,Short,510,no,yes,Middle(13->23),200->300,100->150,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
NM,Middle_Length,510,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
CO,Long,415,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
UT,Long,408,no,no,None,200->300,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
MI,Long,408,no,no,None,100->200,100->150,300->400,50->100,100->200,50->100,0->100,5->10,0->5,False.
MA,Middle_Length,415,no,no,None,100->200,100->150,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
AL,Middle_Length,408,no,no,None,100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
DE,Long,408,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
AZ,Short,415,no,no,None,0->100,100->150,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
ME,Short,510,yes,yes,Large(23->51),100->200,50->100,200->300,100->150,100->200,100->150,0->100,5->10,0->5,True.
NJ,Short,510,no,no,None,100->200,50->100,100->200,100->150,0->100,100->150,0->100,0->5,0->5,False.
NV,Short,415,no,no,None,200->300,100->150,200->300,0->50,100->200,100->150,0->100,0->5,0->5,True.
MO,Middle_Length,510,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
ID,Middle_Length,408,no,no,None,200->300,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
NE,Short,408,no,no,None,200->300,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
TX,Short,408,no,yes,Middle(13->23),200->300,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
MD,Long,510,no,no,None,100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
MS,Long,415,no,no,None,100->200,100->150,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
NV,Long,510,no,no,None,100->200,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
AZ,Middle_Length,408,no,no,None,200->300,50->100,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
MS,Long,415,no,no,None,0->100,100->150,100->200,50->100,100->200,50->100,0->100,0->5,0->5,True.
MS,Short,510,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,True.
TX,Middle_Length,408,no,no,None,0->100,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
NE,Long,408,no,yes,Middle(13->23),200->300,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
NE,Middle_Length,415,no,no,None,100->200,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
CA,Short,408,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
NJ,Short,415,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
TX,Short,408,no,no,None,200->300,50->100,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
AR,Long,408,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,10->15,0->5,False.
AL,Middle_Length,510,yes,no,None,100->200,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
NY,Short,415,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,200->300,100->150,0->100,0->5,5->10,False.
FL,Middle_Length,510,no,no,None,200->300,100->150,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
AK,Long,510,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
NV,Middle_Length,415,no,yes,Middle(13->23),200->300,100->150,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
DE,Middle_Length,510,no,no,None,100->200,100->150,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
MD,Long,415,no,yes,Middle(13->23),200->300,50->100,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
MI,Long,415,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,100->200,100->150,0->100,5->10,0->5,False.
VT,Middle_Length,510,no,no,None,200->300,0->50,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
VT,Long,408,yes,no,None,100->200,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,True.
MI,Long,415,no,no,None,200->300,100->150,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
WA,Long,408,no,no,None,100->200,50->100,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
UT,Middle_Length,408,yes,no,None,200->300,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
LA,Long,408,no,no,None,100->200,100->150,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
RI,Long,408,no,yes,Large(23->51),200->300,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
IA,Middle_Length,408,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
NE,Long,415,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
OH,Short,408,no,no,None,100->200,100->150,100->200,100->150,200->300,50->100,0->100,5->10,0->5,False.
RI,Short,415,no,no,None,200->300,100->150,200->300,100->150,100->200,100->150,0->100,10->15,0->5,False.
OK,Middle_Length,415,no,no,None,200->300,100->150,100->200,0->50,200->300,50->100,0->100,0->5,5->10,False.
LA,Long,408,no,no,None,100->200,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
OH,Middle_Length,415,no,no,None,300->400,100->150,200->300,100->150,100->200,100->150,0->100,5->10,0->5,True.
VA,Long,510,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
MO,Short,510,no,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
FL,Long,510,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
SC,Middle_Length,415,no,no,None,100->200,50->100,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
VA,Long,415,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
IA,Long,510,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
MI,Short,415,no,no,None,0->100,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
OK,Long,415,no,no,None,200->300,150->200,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
DE,Middle_Length,415,no,yes,Middle(13->23),200->300,50->100,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
GA,Long,510,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
DC,Long,415,no,no,None,200->300,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
AZ,Middle_Length,408,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
AL,Short,510,no,no,None,200->300,50->100,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
CO,Short,408,no,no,None,200->300,100->150,200->300,100->150,0->100,50->100,0->100,0->5,0->5,False.
NH,Short,408,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
NM,Short,415,no,no,None,100->200,50->100,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
OR,Short,415,no,no,None,100->200,50->100,100->200,50->100,100->200,150->200,0->100,0->5,0->5,False.
LA,Long,408,no,no,None,200->300,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
NE,Middle_Length,415,no,no,None,200->300,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
MN,Short,415,no,no,None,100->200,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
MI,Long,415,no,no,None,200->300,100->150,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
AR,Long,408,no,no,None,100->200,50->100,100->200,50->100,200->300,100->150,0->100,10->15,0->5,False.
KS,Short,408,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
WV,Middle_Length,510,yes,yes,Middle(13->23),100->200,100->150,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
AK,Long,415,no,no,None,0->100,50->100,100->200,100->150,100->200,50->100,0->100,0->5,5->10,True.
NY,Short,408,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,100->200,100->150,0->100,10->15,0->5,False.
NH,Short,408,no,no,None,100->200,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
VA,Long,510,yes,no,None,200->300,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
NM,Short,415,no,no,None,200->300,100->150,200->300,100->150,200->300,50->100,0->100,10->15,0->5,False.
NY,Middle_Length,408,no,no,None,100->200,50->100,0->100,100->150,100->200,100->150,0->100,0->5,0->5,False.
AZ,Middle_Length,415,no,no,None,200->300,50->100,200->300,100->150,0->100,100->150,0->100,0->5,0->5,False.
WY,Long,510,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
WA,Short,408,no,no,None,200->300,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
CO,Middle_Length,415,no,no,None,100->200,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
TX,Long,415,no,no,None,100->200,100->150,0->100,100->150,200->300,50->100,0->100,0->5,0->5,False.
KY,Short,408,no,no,None,200->300,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
MT,Middle_Length,415,no,no,None,100->200,100->150,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
OK,Long,408,no,yes,Middle(13->23),200->300,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
MD,Long,415,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
TN,Short,415,no,no,None,100->200,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
TX,Long,510,no,no,None,300->400,50->100,100->200,100->150,100->200,100->150,0->100,5->10,0->5,True.
ME,Long,510,yes,yes,Middle(13->23),200->300,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,True.
DC,Short,408,no,no,None,0->100,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
MN,Short,415,no,yes,Middle(13->23),100->200,100->150,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
DE,Short,408,no,no,None,100->200,100->150,300->400,50->100,200->300,100->150,0->100,0->5,0->5,False.
MD,Middle_Length,415,no,no,None,200->300,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
MI,Middle_Length,510,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
WA,Long,415,no,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
MO,Short,415,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
IN,Long,415,no,no,None,200->300,50->100,0->100,50->100,100->200,50->100,0->100,5->10,0->5,False.
OR,Short,415,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
MD,Middle_Length,510,no,no,None,200->300,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
RI,Middle_Length,510,no,no,None,200->300,100->150,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
LA,Middle_Length,415,no,no,None,200->300,50->100,100->200,50->100,100->200,100->150,0->100,10->15,0->5,False.
AZ,Long,510,yes,no,None,200->300,100->150,200->300,100->150,100->200,50->100,0->100,10->15,0->5,False.
PA,Short,415,no,yes,Middle(13->23),100->200,100->150,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
AZ,Middle_Length,408,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
FL,Short,510,yes,no,None,200->300,50->100,200->300,100->150,0->100,50->100,0->100,0->5,0->5,True.
LA,Middle_Length,415,no,no,None,100->200,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
FL,Middle_Length,415,no,no,None,100->200,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
FL,Long,415,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
MD,Long,415,no,no,None,200->300,100->150,200->300,100->150,100->200,100->150,0->100,0->5,0->5,True.
AL,Middle_Length,415,no,no,None,200->300,100->150,100->200,50->100,100->200,100->150,0->100,10->15,0->5,False.
WA,Short,415,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
TN,Long,408,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,50->100,0->100,5->10,0->5,False.
MS,Short,415,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
ME,Short,408,no,no,None,100->200,100->150,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
OK,Middle_Length,408,no,no,None,0->100,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
IN,Short,415,no,no,None,200->300,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
MO,Long,415,no,no,None,200->300,50->100,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
IA,Long,408,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,0->100,100->150,0->100,0->5,0->5,False.
VA,Middle_Length,415,no,yes,Middle(13->23),200->300,100->150,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
KY,Short,415,no,yes,Middle(13->23),100->200,50->100,300->400,50->100,100->200,100->150,0->100,0->5,0->5,False.
MD,Middle_Length,408,yes,no,None,300->400,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,True.
OH,Short,415,yes,yes,Middle(13->23),100->200,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
OK,Middle_Length,415,no,no,None,200->300,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
NV,Short,415,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
ID,Middle_Length,415,yes,no,None,100->200,100->150,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
MN,Long,510,no,no,None,100->200,100->150,200->300,50->100,100->200,100->150,0->100,0->5,5->10,True.
SD,Middle_Length,408,no,yes,Middle(13->23),200->300,100->150,100->200,100->150,200->300,50->100,0->100,5->10,0->5,False.
IL,Middle_Length,408,no,no,None,0->100,100->150,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
WY,Long,510,no,no,None,0->100,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
AL,Short,415,no,no,None,100->200,50->100,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
NJ,Long,510,no,no,None,200->300,50->100,0->100,100->150,100->200,50->100,0->100,5->10,0->5,False.
NV,Long,415,yes,no,None,100->200,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,True.
IN,Short,415,no,no,None,200->300,50->100,100->200,150->200,200->300,100->150,0->100,0->5,0->5,False.
WV,Middle_Length,408,no,no,None,200->300,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
VA,Middle_Length,408,no,no,None,100->200,50->100,200->300,50->100,300->400,50->100,0->100,0->5,0->5,True.
SC,Short,408,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
